ITEM   , LEN_P , LEN_L ,   N   ,   PN   ,  AOA  ,  AOA2  ,  IMG  ,  IMG2  
eccentrics,10,10,0,1,NA,NA,NA,NA
echelons,7,8,0,1,NA,NA,NA,NA
eclipses,NA,8,1,NA,NA,NA,NA,NA
ecstasy,7,7,0,1,NA,595,NA,503
eczema,6,6,0,0,NA,NA,NA,NA
edelweiss,NA,9,0,NA,NA,NA,NA,NA
edema,NA,5,1,NA,NA,NA,NA,NA
edginess,NA,8,0,NA,NA,NA,NA,NA
edibles,NA,7,0,NA,NA,NA,NA,NA
edition,5,7,0,5,NA,NA,373,NA
editions,6,8,0,4,NA,NA,NA,NA
eel,2,3,1,20,NA,NA,552,NA
effigy,5,6,0,2,NA,NA,NA,NA
effluent,6,8,1,1,NA,NA,NA,NA
eggs,3,4,1,5,NA,NA,NA,NA
egotist,NA,7,1,NA,NA,NA,NA,NA
egyptians,NA,9,0,NA,NA,NA,NA,NA
ejection,6,8,2,5,NA,NA,NA,NA
elation,5,7,0,1,NA,NA,NA,NA
election,6,8,3,4,528,NA,435,NA
elections,7,9,2,3,NA,NA,NA,NA
electives,NA,9,0,NA,NA,NA,NA,NA
electors,7,8,0,2,NA,NA,NA,NA
electrics,NA,9,0,NA,NA,NA,NA,NA
electron,8,8,1,1,NA,NA,NA,NA
electrons,9,9,1,1,NA,NA,NA,NA
elegance,7,8,0,1,NA,538,NA,523
elegy,5,5,0,1,NA,NA,NA,NA
element,7,7,1,2,NA,NA,NA,NA
elements,7,8,0,2,NA,NA,NA,NA
elms,4,4,1,3,NA,NA,NA,NA
elves,4,5,1,3,NA,NA,NA,NA
embankment,10,10,0,0,NA,NA,NA,NA
embargo,6,7,0,1,NA,NA,NA,NA
embargoes,7,9,0,1,NA,NA,NA,NA
embassies,7,9,0,1,NA,NA,NA,NA
embassy,6,7,0,1,NA,NA,NA,NA
embolden,NA,8,0,NA,NA,NA,NA,NA
embryo,6,6,0,1,NA,NA,NA,NA
embryos,7,7,0,1,NA,NA,NA,NA
emergence,7,9,1,1,NA,NA,387,NA
emigres,7,7,0,2,NA,NA,NA,NA
eminence,7,8,0,2,NA,NA,NA,NA
emirates,7,8,0,0,NA,NA,NA,NA
emission,5,8,1,6,NA,NA,416,NA
emissions,6,9,1,4,NA,NA,NA,NA
emitter,NA,7,1,NA,NA,NA,NA,NA
emotion,5,7,0,3,492,NA,478,NA
emotions,6,8,0,2,NA,NA,NA,NA
empathy,6,7,0,0,NA,637,NA,255
emperors,7,8,0,1,NA,NA,NA,NA
emphasis,7,8,1,0,NA,NA,NA,NA
empires,6,7,2,2,NA,NA,NA,NA
employees,7,9,1,1,NA,NA,NA,NA
employers,7,9,1,1,NA,NA,NA,NA
employment,9,10,0,0,492,NA,435,NA
empt,NA,4,1,NA,NA,NA,NA,NA
emptiness,8,9,0,0,NA,NA,NA,NA
emulsion,6,8,0,0,542,NA,451,NA
enactment,9,9,0,0,NA,NA,NA,NA
enactments,NA,10,0,NA,NA,NA,NA,NA
enamel,5,6,0,1,NA,NA,451,NA
encampment,10,10,0,0,NA,NA,NA,NA
enchanter,NA,9,1,NA,NA,NA,NA,NA
enclosure,8,9,0,1,NA,NA,NA,NA
enclosures,8,10,0,1,NA,NA,NA,NA
encryption,NA,10,0,NA,NA,NA,NA,NA
ende,NA,4,1,NA,NA,NA,NA,NA
endorphin,NA,9,0,NA,NA,NA,NA,NA
endoscope,NA,9,0,NA,NA,NA,NA,NA
endowment,8,9,0,2,NA,NA,NA,NA
endowments,9,10,0,1,NA,NA,NA,NA
endurance,9,9,0,0,NA,NA,NA,NA
enema,5,5,1,1,NA,NA,NA,NA
enemas,6,6,0,1,NA,NA,NA,NA
enemies,6,7,0,2,NA,NA,NA,NA
energies,6,8,0,2,NA,NA,NA,NA
energy,5,6,0,2,NA,380,NA,429
enforcer,NA,8,1,NA,NA,NA,NA,NA
enforcers,NA,9,0,NA,NA,NA,NA,NA
engagement,9,10,0,0,NA,NA,474,NA
engineers,7,9,0,2,NA,NA,NA,NA
englishman,NA,10,0,NA,NA,NA,NA,NA
englishmen,NA,10,0,NA,NA,NA,NA,NA
engraver,8,8,1,0,NA,NA,NA,NA
engravings,9,10,0,1,NA,NA,NA,NA
enhancer,NA,8,2,NA,NA,NA,NA,NA
enigma,6,6,0,1,649,NA,259,NA
enjoyment,8,9,0,1,NA,340,NA,472
enjoyments,9,10,0,1,NA,NA,NA,NA
enlarger,NA,8,2,NA,NA,NA,NA,NA
enmity,6,6,1,2,NA,NA,NA,NA
ennui,4,5,0,0,NA,NA,NA,NA
enquiry,NA,7,1,NA,NA,NA,NA,NA
enrichment,9,10,0,0,NA,NA,NA,NA
enrollees,NA,9,0,NA,NA,NA,NA,NA
ensemble,7,8,0,0,578,NA,419,NA
ensembles,NA,9,0,NA,NA,NA,NA,NA
entendre,NA,8,0,NA,NA,NA,NA,NA
enticement,NA,10,0,NA,NA,NA,NA,NA
entities,7,8,2,2,NA,NA,NA,NA
entity,6,6,1,2,NA,NA,NA,NA
entombment,NA,10,0,NA,NA,NA,NA,NA
entourage,7,9,1,0,NA,NA,NA,NA
entrances,9,9,1,1,NA,NA,NA,NA
entrapment,10,10,0,0,NA,NA,NA,NA
entreaties,8,10,0,0,NA,NA,NA,NA
entreaty,NA,8,0,NA,NA,NA,NA,NA
entryway,NA,8,0,NA,NA,NA,NA,NA
envelope,7,8,0,1,NA,NA,554,NA
envelopes,8,9,1,1,NA,NA,NA,NA
environs,9,8,0,0,NA,NA,NA,NA
epicure,NA,7,0,NA,NA,NA,NA,NA
epilogue,6,8,0,0,NA,NA,NA,NA
episode,6,7,0,1,NA,NA,370,NA
episodes,7,8,0,1,NA,NA,NA,NA
epistle,5,7,0,0,NA,NA,NA,NA
epitaph,6,7,0,1,614,NA,418,NA
epitaphs,7,8,0,1,NA,NA,NA,NA
epithets,7,8,0,1,NA,NA,NA,NA
equation,6,8,0,1,NA,NA,NA,NA
equations,7,9,0,1,NA,NA,NA,NA
equator,7,7,0,0,NA,NA,NA,NA
equipment,9,9,0,0,447,NA,410,NA
equipments,NA,10,0,NA,NA,NA,NA,NA
equities,7,8,0,1,NA,NA,NA,NA
equity,6,6,0,1,NA,NA,281,NA
eraser,NA,6,1,NA,NA,NA,NA,NA
erasers,NA,7,0,NA,NA,NA,NA,NA
erection,6,8,2,4,NA,NA,NA,NA
erections,7,9,1,3,NA,NA,NA,NA
erector,NA,7,1,NA,NA,NA,NA,NA
erosion,5,7,0,0,NA,NA,NA,NA
eruption,6,8,0,1,NA,NA,NA,NA
eruptions,7,9,0,1,NA,NA,NA,NA
escapee,6,7,2,1,NA,NA,NA,NA
escapees,7,8,0,1,NA,NA,NA,NA
escarpment,9,10,0,0,NA,NA,NA,NA
escudos,NA,7,0,NA,NA,NA,NA,NA
eskimos,NA,7,0,NA,NA,NA,NA,NA
espresso,7,8,0,0,NA,NA,NA,NA
espressos,NA,9,0,NA,NA,NA,NA,NA
ess,NA,3,1,NA,NA,NA,NA,NA
essentials,7,10,0,1,NA,NA,NA,NA
estrogens,NA,9,0,NA,NA,NA,NA,NA
ethanol,NA,7,0,NA,NA,NA,NA,NA
ethylene,NA,8,0,NA,NA,NA,NA,NA
etiquette,6,9,0,0,619,NA,388,NA
eucharist,NA,9,0,NA,NA,NA,NA,NA
eugenics,NA,8,0,NA,NA,NA,NA,NA
eulogies,7,8,0,1,NA,NA,NA,NA
eulogy,6,6,0,1,NA,NA,NA,NA
euphony,NA,7,0,NA,NA,NA,NA,NA
evader,NA,6,2,NA,NA,NA,NA,NA
evasion,5,7,0,2,NA,NA,NA,NA
evasions,6,8,0,2,NA,NA,NA,NA
evergreens,8,10,0,1,NA,NA,NA,NA
eviction,6,8,0,0,NA,NA,NA,NA
evictions,NA,9,0,NA,NA,NA,NA,NA
evidence,7,8,0,2,480,NA,356,NA
ewe,2,3,5,29,378,NA,481,NA
ewes,3,4,3,28,NA,NA,NA,NA
exaction,NA,8,0,NA,NA,NA,NA,NA
exactions,NA,9,0,NA,NA,NA,NA,NA
examples,8,8,0,1,NA,NA,NA,NA
exception,7,9,0,2,472,NA,232,NA
exceptions,8,10,0,1,NA,NA,NA,NA
excesses,7,8,0,1,NA,NA,NA,NA
exchanger,NA,9,2,NA,NA,NA,NA,NA
exchanges,9,9,1,1,NA,NA,NA,NA
exchequer,8,9,0,0,NA,NA,NA,NA
excision,NA,8,0,NA,NA,NA,NA,NA
exclusion,8,9,0,0,NA,NA,326,NA
exclusions,NA,10,0,NA,NA,NA,NA,NA
excrement,10,9,0,0,NA,NA,NA,NA
excretion,NA,9,0,NA,NA,NA,NA,NA
excursion,7,9,0,1,NA,NA,NA,NA
excursions,8,10,0,1,NA,NA,NA,NA
excuses,9,7,1,1,NA,NA,NA,NA
exemplars,NA,9,1,NA,NA,NA,NA,NA
exemption,8,9,0,1,NA,NA,NA,NA
exemptions,9,10,0,1,NA,NA,NA,NA
exertion,6,8,0,1,NA,NA,445,NA
exertions,7,9,0,1,NA,NA,NA,NA
exhaustion,8,10,0,0,NA,NA,505,NA
existence,9,9,0,1,NA,NA,NA,NA
exodus,7,6,0,0,NA,NA,NA,NA
exorcists,NA,9,0,NA,NA,NA,NA,NA
exotics,NA,7,0,NA,NA,NA,NA,NA
expansion,8,9,0,0,NA,NA,417,NA
expansions,NA,10,0,NA,NA,NA,NA,NA
expenses,9,8,1,2,NA,NA,NA,NA
expertise,8,9,0,0,NA,NA,NA,NA
expiry,8,6,1,1,NA,NA,NA,NA
expletives,NA,10,0,NA,NA,NA,NA,NA
explorer,9,8,2,1,NA,NA,NA,NA
explorers,9,9,0,1,NA,NA,NA,NA
explosion,8,9,0,1,NA,NA,NA,NA
explosions,9,10,0,1,NA,NA,NA,NA
explosives,10,10,0,1,NA,NA,NA,NA
exponent,9,8,0,1,NA,NA,NA,NA
exponents,10,9,0,1,NA,NA,NA,NA
exporter,8,8,1,1,NA,NA,NA,NA
exposure,8,8,0,1,NA,NA,431,NA
exposures,8,9,0,1,NA,NA,NA,NA
expression,8,10,0,0,NA,NA,386,NA
expresso,NA,8,1,NA,NA,NA,NA,NA
expressway,9,10,0,0,NA,NA,NA,NA
expulsion,8,9,0,0,NA,NA,363,NA
extenders,NA,9,0,NA,NA,NA,NA,NA
extension,8,9,0,1,NA,NA,NA,NA
extensions,9,10,0,1,NA,NA,NA,NA
extinction,9,10,0,0,NA,NA,NA,NA
extortion,7,9,0,0,NA,NA,NA,NA
extremists,11,10,0,1,NA,NA,NA,NA
extrovert,9,9,0,0,NA,NA,NA,NA
extrusion,NA,9,0,NA,NA,NA,NA,NA
eyedropper,NA,10,0,NA,NA,NA,NA,NA
eyeglasses,7,10,0,0,NA,NA,NA,NA
eyelashes,6,9,0,0,NA,NA,NA,NA
eyeliner,NA,8,0,NA,NA,NA,NA,NA
fac,NA,3,9,NA,NA,NA,NA,NA
factories,8,9,0,1,NA,NA,NA,NA
factory,7,7,1,1,NA,380,608,NA
facts,5,5,3,5,NA,NA,NA,NA
faculties,7,9,0,1,NA,NA,NA,NA
faculty,6,7,0,1,NA,NA,NA,NA
fad,3,3,16,26,NA,NA,NA,NA
fads,4,4,8,12,NA,NA,NA,NA
fags,4,4,13,15,NA,NA,NA,NA
faire,NA,5,2,NA,NA,NA,NA,NA
fairyland,8,9,0,0,NA,NA,NA,NA
faiths,4,6,0,4,NA,NA,NA,NA
fajitas,NA,7,0,NA,NA,NA,NA,NA
falconry,NA,8,0,NA,NA,NA,NA,NA
fallacies,7,9,0,1,NA,NA,NA,NA
fallacy,6,7,0,1,NA,NA,287,NA
falsity,7,7,1,0,NA,NA,NA,NA
family,6,6,0,2,280,NA,577,NA
fanatics,8,8,0,1,NA,NA,NA,NA
fandango,NA,8,0,NA,NA,NA,NA,NA
fangs,4,5,4,6,NA,NA,NA,NA
fantasies,8,9,0,1,NA,NA,NA,NA
farce,3,5,1,10,NA,NA,NA,NA
farmhouses,8,10,0,0,NA,NA,NA,NA
farrier,NA,7,3,NA,NA,NA,NA,NA
fascism,7,7,1,0,NA,NA,NA,NA
fastener,NA,8,1,NA,NA,NA,NA,NA
fasteners,NA,9,0,NA,NA,NA,NA,NA
fastenings,7,10,0,0,NA,NA,NA,NA
fatalist,NA,8,1,NA,NA,NA,NA,NA
fates,4,5,13,16,NA,NA,NA,NA
fatherhood,7,10,0,0,NA,NA,NA,NA
fatherland,8,10,0,0,531,NA,378,NA
fats,4,4,14,15,NA,NA,NA,NA
fave,NA,4,15,NA,NA,NA,NA,NA
favorites,NA,9,0,NA,NA,NA,NA,NA
fealty,NA,6,0,NA,NA,NA,NA,NA
feasts,5,6,2,4,NA,NA,NA,NA
feat,3,4,12,14,531,NA,228,NA
featherbed,NA,10,0,NA,NA,NA,NA,NA
feats,4,5,7,10,NA,NA,NA,NA
federals,NA,8,0,NA,NA,NA,NA,NA
fedora,NA,6,0,NA,NA,NA,NA,NA
fee,2,3,15,21,444,NA,440,NA
fees,3,4,9,24,NA,NA,NA,NA
feist,NA,5,2,NA,NA,NA,NA,NA
fellowship,7,10,0,0,NA,NA,NA,NA
felonies,NA,8,0,NA,NA,NA,NA,NA
felts,NA,5,6,NA,NA,NA,NA,NA
feminists,9,9,0,1,NA,NA,NA,NA
fen,3,3,18,25,NA,NA,NA,NA
fent,NA,4,16,NA,NA,NA,NA,NA
feria,NA,5,0,NA,NA,NA,NA,NA
fermium,NA,7,0,NA,NA,NA,NA,NA
ferns,4,5,2,17,NA,NA,NA,NA
ferryboats,NA,10,0,NA,NA,NA,NA,NA
ferryman,NA,8,0,NA,NA,NA,NA,NA
fest,NA,4,15,NA,NA,NA,NA,NA
festivals,8,9,0,1,NA,NA,NA,NA
fests,NA,5,9,NA,NA,NA,NA,NA
fete,3,4,1,29,NA,NA,NA,NA
fetishist,8,9,1,0,NA,NA,NA,NA
fetishists,NA,10,0,NA,NA,NA,NA,NA
feuds,5,5,1,6,NA,NA,NA,NA
fiance,6,6,0,0,NA,NA,NA,NA
fiasco,6,6,0,0,NA,NA,NA,NA
fiddlers,NA,8,0,NA,NA,NA,NA,NA
fides,NA,5,11,NA,NA,NA,NA,NA
fief,NA,4,1,NA,NA,NA,NA,NA
fiends,5,6,1,6,NA,NA,NA,NA
fig,3,3,15,15,NA,NA,NA,NA
figs,4,4,10,11,NA,NA,NA,NA
figura,NA,6,1,NA,NA,NA,NA,NA
figurehead,7,10,0,0,NA,NA,NA,NA
figurine,7,8,1,1,NA,NA,NA,NA
figurines,8,9,0,1,NA,NA,NA,NA
filament,8,8,0,1,NA,NA,NA,NA
filaments,9,9,0,1,NA,NA,NA,NA
filigree,7,8,0,0,NA,NA,NA,NA
filmmakers,NA,10,0,NA,NA,NA,NA,NA
filtration,8,10,0,0,NA,NA,NA,NA
finale,6,6,1,0,NA,NA,NA,NA
finalist,NA,8,0,NA,NA,NA,NA,NA
finalists,9,9,0,0,NA,NA,NA,NA
finances,8,8,1,2,NA,NA,NA,NA
financier,8,9,0,1,NA,610,NA,406
financiers,8,10,0,2,NA,NA,NA,NA
finery,6,6,1,3,NA,490,NA,455
fingernail,8,10,0,0,NA,NA,NA,NA
fingertips,9,10,0,1,NA,NA,NA,NA
finisher,NA,8,2,NA,NA,NA,NA,NA
finishers,NA,9,0,NA,NA,NA,NA,NA
finns,NA,5,2,NA,NA,NA,NA,NA
fins,4,4,13,20,NA,NA,NA,NA
firearm,6,7,1,1,NA,NA,NA,NA
firebrand,8,9,0,0,NA,NA,NA,NA
fireflies,7,9,0,0,NA,NA,NA,NA
fireplace,7,9,0,0,NA,NA,639,NA
firepower,7,9,0,0,NA,NA,NA,NA
fireside,6,8,0,0,NA,NA,NA,NA
fireweed,NA,8,0,NA,NA,NA,NA,NA
firewood,6,8,0,0,331,NA,586,NA
firsts,5,6,0,5,NA,NA,NA,NA
firth,3,5,6,13,NA,NA,NA,NA
fisheries,7,9,0,1,NA,NA,NA,NA
fisherman,7,9,1,0,289,NA,610,NA
fishermen,7,9,1,0,NA,NA,NA,NA
fishery,6,7,1,1,NA,NA,NA,NA
fishmonger,9,10,0,0,NA,NA,NA,NA
fists,5,5,3,8,NA,NA,NA,NA
fixation,7,8,0,0,NA,NA,NA,NA
fjord,NA,5,0,NA,NA,NA,NA,NA
fjords,NA,6,0,NA,NA,NA,NA,NA
flageolet,NA,9,0,NA,NA,NA,NA,NA
flair,4,5,1,8,NA,NA,425,NA
flak,4,4,6,16,NA,NA,NA,NA
flames,5,6,5,5,NA,NA,NA,NA
flamingos,NA,9,0,NA,NA,NA,NA,NA
flan,4,4,8,10,NA,NA,NA,NA
flanks,6,6,4,6,NA,NA,NA,NA
flask,5,5,2,1,NA,NA,614,NA
flasks,6,6,1,1,NA,NA,NA,NA
flattery,7,8,1,1,NA,NA,NA,NA
flavorings,NA,10,0,NA,NA,NA,NA,NA
flaw,3,4,9,9,NA,NA,NA,NA
flaws,4,5,5,10,NA,NA,NA,NA
fleck,4,5,2,10,NA,NA,NA,NA
flecks,5,6,2,8,NA,NA,NA,NA
fleer,NA,5,4,NA,NA,NA,NA,NA
fleets,5,6,0,8,NA,NA,NA,NA
flesh,4,5,3,6,411,NA,567,NA
flights,5,7,2,8,NA,NA,NA,NA
flints,6,6,3,3,NA,NA,NA,NA
flirtation,7,10,0,1,NA,NA,NA,NA
floats,5,6,0,5,NA,NA,NA,NA
flocks,5,6,5,15,NA,NA,NA,NA
floodwater,NA,10,0,NA,NA,NA,NA,NA
floors,4,6,2,10,NA,NA,NA,NA
flotation,7,9,0,1,NA,NA,NA,NA
flotilla,7,8,0,0,NA,NA,NA,NA
flue,3,4,6,12,561,NA,400,NA
fluke,4,5,2,8,NA,NA,NA,NA
flukes,NA,6,2,NA,NA,NA,NA,NA
flume,NA,5,4,NA,NA,NA,NA,NA
flus,NA,4,3,NA,NA,NA,NA,NA
flute,4,5,1,13,NA,NA,581,NA
flutes,5,6,1,6,NA,NA,NA,NA
flycatcher,NA,10,0,NA,NA,NA,NA,NA
foams,NA,5,3,NA,NA,NA,NA,NA
foe,2,3,11,27,453,NA,435,NA
fogs,4,4,11,12,NA,NA,NA,NA
foist,NA,5,2,NA,NA,NA,NA,NA
follicle,NA,8,0,NA,NA,NA,NA,NA
follicles,NA,9,0,NA,NA,NA,NA,NA
follower,6,8,1,1,NA,NA,NA,NA
followers,6,9,0,1,NA,NA,NA,NA
followings,NA,10,0,NA,NA,NA,NA,NA
font,4,4,4,4,547,NA,497,NA
fonts,NA,5,1,NA,NA,NA,NA,NA
foods,4,5,7,8,NA,NA,NA,NA
foolery,6,7,0,0,NA,NA,NA,NA
fools,4,5,7,15,NA,NA,NA,NA
fop,NA,3,14,NA,NA,NA,NA,NA
foramen,NA,7,1,NA,NA,NA,NA,NA
foreboding,7,10,0,0,NA,NA,NA,NA
forefather,NA,10,0,NA,NA,NA,NA,NA
foreigner,7,9,0,2,447,NA,516,NA
foreigners,7,10,0,2,NA,NA,NA,NA
forerunner,7,10,0,0,NA,NA,NA,NA
forester,8,8,0,1,NA,NA,NA,NA
foresters,8,9,0,1,NA,NA,NA,NA
forestry,8,8,0,0,NA,NA,NA,NA
foret,NA,5,0,NA,NA,NA,NA,NA
forfeiture,NA,10,0,NA,NA,NA,NA,NA
forgeries,7,9,0,1,NA,NA,NA,NA
forgery,6,7,0,1,NA,NA,NA,NA
fork,3,4,8,20,225,NA,598,NA
formation,6,9,0,1,NA,NA,409,NA
formations,7,10,0,1,NA,NA,NA,NA
formica,NA,7,0,NA,NA,NA,NA,NA
formula,7,7,0,2,NA,NA,NA,NA
formulas,8,8,1,1,NA,NA,NA,NA
fortitude,8,9,0,0,NA,NA,NA,NA
fortresses,8,10,0,0,NA,NA,NA,NA
forts,4,5,8,17,NA,NA,NA,NA
forwarder,NA,9,1,NA,NA,NA,NA,NA
fragrances,10,10,0,0,NA,NA,NA,NA
franc,5,5,1,7,NA,NA,426,NA
franchisee,NA,10,1,NA,NA,NA,NA,NA
franchises,9,10,0,0,NA,NA,NA,NA
francs,6,6,1,6,NA,NA,NA,NA
fraud,4,5,0,9,519,NA,381,NA
frauds,5,6,0,3,NA,NA,NA,NA
freight,4,7,0,13,542,NA,465,NA
fremitus,NA,8,0,NA,NA,NA,NA,NA
frenulum,NA,8,0,NA,NA,NA,NA,NA
frequency,9,9,0,0,NA,538,NA,315
freres,NA,6,0,NA,NA,NA,NA,NA
freshener,NA,9,1,NA,NA,NA,NA,NA
fresheners,NA,10,0,NA,NA,NA,NA,NA
fridge,4,6,2,3,NA,NA,NA,NA
frieze,4,6,1,11,NA,NA,315,NA
fright,4,6,4,13,286,NA,442,NA
frill,4,5,3,9,383,NA,497,NA
frills,5,6,4,5,NA,NA,NA,NA
fringe,5,6,2,3,283,NA,500,NA
frist,NA,5,4,NA,NA,NA,NA,NA
frogs,5,5,0,3,NA,NA,NA,NA
frond,5,5,1,4,NA,NA,NA,NA
fronds,6,6,1,2,NA,NA,NA,NA
fronts,6,6,2,2,NA,NA,NA,NA
frosts,6,6,2,1,NA,NA,NA,NA
fruit,4,5,0,9,219,NA,587,NA
fruition,6,8,0,0,NA,NA,NA,NA
fruits,5,6,1,5,NA,NA,NA,NA
fugitive,8,8,0,1,NA,NA,NA,NA
fugitives,9,9,0,1,NA,NA,NA,NA
fugue,4,5,0,5,NA,NA,NA,NA
fumes,5,5,2,4,NA,NA,NA,NA
fundraiser,NA,10,0,NA,NA,NA,NA,NA
funerals,9,8,0,1,NA,NA,NA,NA
fungicide,NA,9,0,NA,NA,NA,NA,NA
fungicides,9,10,0,0,NA,NA,NA,NA
funs,NA,4,14,NA,NA,NA,NA,NA
furnaces,7,8,0,0,NA,NA,NA,NA
furniture,7,9,0,0,NA,264,588,NA
furs,3,4,4,18,NA,NA,NA,NA
futurist,9,8,1,1,NA,NA,NA,NA
fuzz,3,4,2,15,NA,NA,NA,NA
gadgetry,7,8,0,0,NA,NA,NA,NA
gads,NA,4,10,NA,NA,NA,NA,NA
gaffe,3,5,0,8,NA,NA,NA,NA
gait,3,4,4,25,NA,NA,377,NA
gal,3,3,8,19,NA,NA,NA,NA
galaxies,8,8,0,2,NA,NA,NA,NA
gales,4,5,11,24,NA,NA,NA,NA
gallantry,8,9,1,0,NA,NA,NA,NA
galleon,5,7,0,2,NA,NA,NA,NA
galleons,6,8,0,2,NA,NA,NA,NA
galleries,7,9,0,3,NA,NA,NA,NA
gallery,6,7,0,3,442,NA,566,NA
gals,4,4,8,9,NA,NA,NA,NA
gangbuster,NA,10,0,NA,NA,NA,NA,NA
gange,NA,5,3,NA,NA,NA,NA,NA
ganglia,NA,7,0,NA,NA,NA,NA,NA
gap,3,3,16,21,NA,NA,NA,NA
gaps,4,4,10,10,NA,NA,NA,NA
garages,7,7,0,0,NA,NA,NA,NA
garb,3,4,1,4,NA,NA,NA,NA
gardener,6,8,0,2,NA,330,NA,639
gardeners,6,9,0,1,NA,NA,NA,NA
gardening,6,9,1,1,NA,NA,NA,NA
gasoline,7,8,0,0,NA,NA,NA,NA
gast,NA,4,14,NA,NA,NA,NA,NA
gastritis,NA,9,0,NA,NA,NA,NA,NA
gatherer,NA,8,1,NA,NA,NA,NA,NA
gatherers,NA,9,0,NA,NA,NA,NA,NA
gatherings,8,10,0,1,NA,NA,NA,NA
gearboxes,NA,9,0,NA,NA,NA,NA,NA
gears,3,5,11,20,NA,NA,NA,NA
geese,3,5,0,5,314,NA,603,NA
gelatine,7,8,0,0,NA,NA,NA,NA
gels,4,4,4,12,NA,NA,NA,NA
gem,3,3,7,8,NA,NA,572,NA
gems,4,4,4,5,NA,NA,NA,NA
genera,6,6,0,2,NA,NA,NA,NA
generale,NA,8,2,NA,NA,NA,NA,NA
generics,NA,8,1,NA,NA,NA,NA,NA
genes,4,5,2,6,NA,NA,NA,NA
genetics,8,8,0,1,NA,NA,NA,NA
genitals,7,8,0,1,NA,NA,NA,NA
genocides,NA,9,0,NA,NA,NA,NA,NA
genotypes,NA,9,0,NA,NA,NA,NA,NA
gens,NA,4,13,NA,NA,NA,NA,NA
gent,4,4,10,13,NA,NA,NA,NA
gentleman,8,9,1,0,347,NA,559,NA
gentleness,8,10,0,0,NA,NA,NA,NA
gents,5,5,7,9,NA,NA,NA,NA
geordie,NA,7,0,NA,NA,NA,NA,NA
gestation,7,9,0,0,NA,NA,NA,NA
getaway,6,7,0,0,NA,NA,NA,NA
getaways,NA,8,0,NA,NA,NA,NA,NA
ghee,NA,4,2,NA,NA,NA,NA,NA
ghosts,5,6,0,10,NA,NA,NA,NA
ghouls,NA,6,0,NA,NA,NA,NA,NA
gibe,NA,4,1,NA,NA,NA,NA,NA
gibes,NA,5,2,NA,NA,NA,NA,NA
gift,4,4,5,8,255,NA,547,NA
gifts,5,5,2,4,NA,NA,NA,NA
gigabyte,NA,8,0,NA,NA,NA,NA,NA
gigabytes,NA,9,0,NA,NA,NA,NA,NA
gills,4,5,10,21,NA,NA,NA,NA
gilt,4,4,9,11,521,NA,263,NA
gilts,NA,5,5,NA,NA,NA,NA,NA
girth,3,5,3,9,NA,NA,NA,NA
gish,NA,4,7,NA,NA,NA,NA,NA
gist,4,4,6,8,NA,NA,262,NA
giveaway,NA,8,0,NA,NA,NA,NA,NA
giveaways,NA,9,0,NA,NA,NA,NA,NA
glace,NA,5,5,NA,NA,NA,NA,NA
gland,5,5,3,6,NA,NA,NA,NA
glands,6,6,1,3,NA,NA,NA,NA
glee,3,4,3,8,NA,471,NA,428
glens,NA,5,0,NA,NA,NA,NA,NA
glint,5,5,1,3,NA,NA,NA,NA
globe,4,5,1,7,364,NA,583,NA
globes,5,6,1,3,NA,NA,NA,NA
globs,NA,5,5,NA,NA,NA,NA,NA
globulin,NA,8,0,NA,NA,NA,NA,NA
globulins,NA,9,0,NA,NA,NA,NA,NA
gloom,4,5,2,9,453,417,416,NA
glop,NA,4,4,NA,NA,NA,NA,NA
glossary,7,8,0,0,NA,NA,NA,NA
glove,4,5,3,5,228,NA,596,NA
glues,4,5,3,10,NA,NA,NA,NA
glutamate,NA,9,0,NA,NA,NA,NA,NA
gluttony,6,8,0,0,NA,NA,NA,NA
glycerol,NA,8,0,NA,NA,NA,NA,NA
glycogen,NA,8,0,NA,NA,NA,NA,NA
glycoside,NA,9,0,NA,NA,NA,NA,NA
gnome,3,5,0,18,NA,NA,NA,NA
gnomes,4,6,0,11,NA,NA,NA,NA
gnu,NA,3,0,NA,NA,NA,NA,NA
goal,3,4,4,26,294,NA,556,NA
goalkeeper,8,10,0,0,NA,NA,NA,NA
goals,4,5,4,19,NA,NA,NA,NA
goats,4,5,6,11,NA,NA,NA,NA
gobblers,NA,8,1,NA,NA,NA,NA,NA
goddesses,7,9,0,0,NA,NA,NA,NA
godfathers,NA,10,0,NA,NA,NA,NA,NA
godmother,8,9,0,0,NA,383,NA,499
godmothers,NA,10,0,NA,NA,NA,NA,NA
golds,NA,5,5,NA,NA,NA,NA,NA
golf,4,4,3,1,325,463,621,537
golfs,NA,5,1,NA,NA,NA,NA,NA
gondolas,NA,8,0,NA,NA,NA,NA,NA
gongs,4,5,4,8,NA,NA,NA,NA
goods,4,5,5,8,NA,NA,NA,NA
goons,NA,5,4,NA,NA,NA,NA,NA
goos,NA,4,7,NA,NA,NA,NA,NA
gooseberry,7,10,0,0,NA,NA,NA,NA
gorge,3,5,3,8,NA,535,NA,401
gorilla,6,7,0,1,NA,383,NA,NA
gorillas,7,8,0,2,NA,NA,NA,NA
gossamer,7,8,0,0,NA,NA,NA,NA
gossipers,NA,9,0,NA,NA,NA,NA,NA
gourds,4,6,0,6,NA,NA,NA,NA
gov,NA,3,5,NA,NA,NA,NA,NA
governance,NA,10,0,NA,NA,NA,NA,NA
