numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	 BF_TP|f	 LEN_L|f	   N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f
4229	14048	converter	11	11	10	9	8	0.215686275	1.079181246	0.11921793	1.041392685	Noun	11	1	2.371015388	3	120.25	9	1	1	low	low3	4	40	1	2	41	42	43	44
4232	14060	conveyor	43	43	34	43	34	0.843137255	1.643452676	0.405340963	1.544068044	Noun	43	1	2.935286819	3	58.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
4236	14088	convulsion	10	10	9	9	8	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	110.44	10	0	1	low	low3	4	40	1	2	41	42	43	44
4263	14185	copier	32	32	26	32	26	0.62745098	1.51851394	0.309966619	1.431363764	Noun	32	1	2.810348082	3	121.4	6	4	1	low	low3	4	40	1	2	41	42	43	44
4270	14207	cops	4290	4290	1694	3873	1603	84.11764706	3.632558515	20.19551741	3.229169703	Noun	4291	1	4.924392657	1	26.67	4	15	1	high	high1	1	10	1	2	11	12	13	14
4277	14222	copycat	44	44	31	40	29	0.862745098	1.653212514	0.369575584	1.505149978	Noun	44	1	2.945046656	3	41.33	7	0	1	low	low3	4	40	1	2	41	42	43	44
4281	14229	copyright	31	31	28	24	22	0.607843137	1.505149978	0.333810205	1.462397998	Noun	31	1	2.79698412	3	46.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
4282	14231	copyrights	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	48.89	10	0	1	low	low3	4	40	1	2	41	42	43	44
4298	14272	cords	86	86	73	85	73	1.68627451	1.939519253	0.870290892	1.86923172	Noun	86	1	3.231353395	1	50.25	5	10	1	low	low1	3	30	1	2	31	32	33	34
4319	14310	cornea	16	16	12	16	12	0.31372549	1.230448921	0.143061516	1.113943352	Noun	16	1	2.522283064	3	61	6	2	1	low	low3	4	40	1	2	41	42	43	44
4331	14341	corns	43	43	29	43	29	0.843137255	1.643452676	0.345731998	1.477121255	Noun	44	1	2.935286819	1	49	5	8	1	low	low1	3	30	1	2	31	32	33	34
4341	14367	coroners	6	6	6	6	6	0.117647059	0.84509804	0.071530758	0.84509804	Noun	6	1	2.136932182	3	128.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
4346	14378	corps	555	555	267	138	89	10.88235294	2.745074792	3.183118741	2.428134794	Noun	551	1	4.036908934	1	45.25	5	6	1	high	high1	1	10	1	2	11	12	13	14
4360	14435	corrosion	10	10	8	9	7	0.196078431	1.041392685	0.095374344	0.954242509	Noun	10	1	2.333226827	3	110	9	0	1	low	low3	4	40	1	2	41	42	43	44
4376	14491	cosmetics	98	98	63	86	57	1.921568627	1.995635195	0.751072961	1.806179974	Noun	98	1	3.287469337	3	89	9	0	1	low	low3	4	40	1	2	41	42	43	44
4384	14523	costumer	8	8	5	7	5	0.156862745	0.954242509	0.059608965	0.77815125	Noun	8	1	2.246076652	3	87.57	8	2	1	low	low3	4	40	1	2	41	42	43	44
4396	14541	cottages	25	25	21	25	21	0.490196078	1.414973348	0.250357654	1.342422681	Noun	25	1	2.70680749	3	121.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
4410	14587	councilmen	11	11	11	11	11	0.215686275	1.079181246	0.131139723	1.079181246	Noun	11	1	2.371015388	3	47.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
4411	14589	councilors	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	64.89	10	0	1	low	low3	4	40	1	2	41	42	43	44
4413	14594	counseling	211	211	149	199	144	4.137254902	2.326335861	1.776347163	2.176091259	Noun	209	1	3.618170003	3	165.44	10	0	1	low	low3	4	40	1	2	41	42	43	44
4414	14597	counsellor	132	132	74	86	59	2.588235294	2.123851641	0.882212685	1.875061263	Noun	132	1	3.415685783	3	49.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
4434	14731	courtesies	10	10	10	10	10	0.196078431	1.041392685	0.11921793	1.041392685	Noun	10	1	2.333226827	3	105	10	0	1	low	low3	4	40	1	2	41	42	43	44
4452	14769	coverall	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	78.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
4454	14773	coverings	4	4	3	4	3	0.078431373	0.698970004	0.035765379	0.602059991	Noun	4	1	1.990804146	3	91.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
4457	14781	coverups	1	1	1	0	0	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	65	8	0	1	low	low3	4	40	1	2	41	42	43	44
4466	14811	cowl	5	5	5	5	5	0.098039216	0.77815125	0.059608965	0.77815125	Noun	5	1	2.069985393	1	19.67	4	8	1	low	low1	3	30	1	2	31	32	33	34
4471	14817	coworker	34	34	31	34	31	0.666666667	1.544068044	0.369575584	1.505149978	Noun	34	1	2.835902186	3	71.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
4481	14829	cows	480	480	269	442	256	9.411764706	2.682145076	3.206962327	2.431363764	Noun	481	1	3.973979219	1	22.67	4	11	1	high	high1	1	10	1	2	11	12	13	14
4486	14841	coyotes	105	105	58	91	55	2.058823529	2.025305865	0.691463996	1.770852012	Noun	105	1	3.317140007	3	156	7	0	1	low	low3	4	40	1	2	41	42	43	44
4500	14894	cracks	251	251	214	235	203	4.921568627	2.401400541	2.55126371	2.33243846	Noun	250	1	3.693234683	1	60	6	3	1	high	high1	1	10	1	2	11	12	13	14
4505	14910	crafts	70	70	55	64	50	1.37254902	1.851258349	0.655698617	1.748188027	Noun	70	1	3.143092491	1	65.6	6	2	1	low	low1	3	30	1	2	31	32	33	34
4535	15044	creamery	6	6	1	6	1	0.117647059	0.84509804	0.011921793	0.301029996	Noun	6	1	2.136932182	3	91.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
4536	15048	creams	34	34	33	34	33	0.666666667	1.544068044	0.39341917	1.531478917	Noun	35	1	2.835902186	1	45.4	6	3	1	low	low1	3	30	1	2	31	32	33	34
4550	15089	creditor	7	7	7	6	6	0.137254902	0.903089987	0.083452551	0.903089987	Noun	7	1	2.194924129	3	49.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
4554	15100	creeks	9	9	8	6	6	0.176470588	1	0.095374344	0.954242509	Noun	9	1	2.291834142	1	48.6	6	4	1	low	low1	3	30	1	2	31	32	33	34
4564	15133	crepe	42	42	32	37	29	0.823529412	1.633468456	0.381497377	1.51851394	Noun	42	1	2.925302598	1	30.75	5	1	1	low	low1	3	30	1	2	31	32	33	34
4587	15201	criminals	612	612	433	565	415	12	2.787460475	5.162136385	2.63748973	Noun	613	1	4.079294617	3	48.63	9	0	1	high	high3	2	20	1	2	21	22	23	24
4666	15417	crowds	179	179	159	169	151	3.509803922	2.255272505	1.895565093	2.204119983	Noun	180	1	3.547106647	1	47.8	6	1	1	low	low1	3	30	1	2	31	32	33	34
4667	15425	crows	141	141	75	112	64	2.764705882	2.152288344	0.894134478	1.880813592	Noun	142	1	3.444122487	1	40.5	5	7	1	low	low1	3	30	1	2	31	32	33	34
4690	15510	crusader	57	57	46	47	41	1.117647059	1.763427994	0.54840248	1.672097858	Noun	57	1	3.055262136	3	62.57	8	1	1	low	low3	4	40	1	2	41	42	43	44
4696	15532	crutch	67	67	53	66	53	1.31372549	1.832508913	0.631855031	1.73239376	Noun	67	1	3.124343055	1	32.8	6	3	1	low	low1	3	30	1	2	31	32	33	34
4717	15597	cube	152	152	91	121	70	2.980392157	2.184691431	1.084883166	1.963787827	Noun	152	1	3.476525573	1	10.33	4	4	1	low	low1	3	30	1	2	31	32	33	34
4728	15622	cucumber	101	101	72	97	71	1.980392157	2.008600172	0.858369099	1.86332286	Noun	101	1	3.300434314	3	37	8	0	1	low	low3	4	40	1	2	41	42	43	44
4829	15904	cuticle	19	19	17	16	15	0.37254902	1.301029996	0.202670482	1.255272505	Noun	19	1	2.592864138	3	51.33	7	1	1	low	low3	4	40	1	2	41	42	43	44
4833	15912	cutlery	18	18	18	17	17	0.352941176	1.278753601	0.214592275	1.278753601	Noun	18	1	2.570587743	3	97.5	7	0	1	low	low3	4	40	1	2	41	42	43	44
4888	16050	daffodil	10	10	9	9	8	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	11.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
4905	16100	dalmatians	10	10	8	2	2	0.196078431	1.041392685	0.095374344	0.954242509	Noun	10	1	2.333226827	3	38.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
4908	16112	dames	223	223	133	189	115	4.37254902	2.350248018	1.585598474	2.127104798	Noun	223	1	3.64208216	1	71.5	5	7	1	low	low1	3	30	1	2	31	32	33	34
4931	16215	daredevils	5	5	5	5	5	0.098039216	0.77815125	0.059608965	0.77815125	Noun	5	1	2.069985393	3	22.56	10	0	1	low	low3	4	40	1	2	41	42	43	44
4979	16352	days	15592	15592	5801	15338	5743	305.7254902	4.192929679	69.15832141	3.763577724	Noun	15592	1	5.484763821	1	15.33	4	11	1	high	high1	1	10	1	2	11	12	13	14
4982	16357	daze	28	28	25	22	19	0.549019608	1.462397998	0.298044826	1.414973348	Noun	28	1	2.75423214	1	12.67	4	10	1	low	low1	3	30	1	2	31	32	33	34
4999	16425	dealership	66	66	58	65	57	1.294117647	1.826074803	0.691463996	1.770852012	Noun	66	1	3.117908945	3	44.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
5044	16552	decathlon	20	20	6	17	6	0.392156863	1.322219295	0.071530758	0.84509804	Noun	20	1	2.614053437	3	55.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
5054	16591	decibel	10	10	10	7	7	0.196078431	1.041392685	0.11921793	1.041392685	Noun	10	1	2.333226827	3	42.5	7	0	1	low	low3	4	40	1	2	41	42	43	44
5056	16596	decider	6	6	5	6	5	0.117647059	0.84509804	0.059608965	0.77815125	Noun	6	1	2.136932182	3	103.67	7	2	1	low	low3	4	40	1	2	41	42	43	44
5060	16604	decimals	4	4	2	4	2	0.078431373	0.698970004	0.023843586	0.477121255	Noun	4	1	1.990804146	3	53.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
5067	16626	decks	130	130	99	128	98	2.549019608	2.117271296	1.180257511	2	Noun	130	1	3.409105438	1	42.75	5	5	1	low	low1	3	30	1	2	31	32	33	34
5070	16649	decoders	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	99.14	8	0	1	low	low3	4	40	1	2	41	42	43	44
5095	16797	defaulters	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	49.11	10	0	1	low	low3	4	40	1	2	41	42	43	44
5111	16836	defenses	108	108	80	105	78	2.117647059	2.037426498	0.953743443	1.908485019	Noun	108	1	3.32926064	3	120.29	8	1	1	low	low3	4	40	1	2	41	42	43	44
5122	16889	deflation	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	123.75	9	1	1	low	low3	4	40	1	2	41	42	43	44
5123	16893	deflection	15	15	7	14	7	0.294117647	1.204119983	0.083452551	0.903089987	Noun	15	1	2.495954125	3	130.89	10	1	1	low	low3	4	40	1	2	41	42	43	44
5124	16894	deflector	17	17	7	16	6	0.333333333	1.255272505	0.083452551	0.903089987	Noun	17	1	2.547106647	3	49	9	1	1	low	low3	4	40	1	2	41	42	43	44
5142	16979	deity	28	28	22	26	22	0.549019608	1.462397998	0.262279447	1.361727836	Noun	28	1	2.75423214	3	33.25	5	0	1	low	low3	4	40	1	2	41	42	43	44
5147	17000	delegates	87	87	35	75	29	1.705882353	1.944482672	0.417262756	1.556302501	Noun	86	1	3.236316814	3	126.5	9	1	1	low	low3	4	40	1	2	41	42	43	44
5149	17008	deletion	6	6	5	5	4	0.117647059	0.84509804	0.059608965	0.77815125	Noun	6	1	2.136932182	3	103.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
5172	17118	demeanors	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	69.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
5175	17125	demerit	10	10	9	10	9	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	48.5	7	0	1	low	low3	4	40	1	2	41	42	43	44
5205	17263	dens	15	15	10	15	10	0.294117647	1.204119983	0.11921793	1.041392685	Noun	15	1	2.495954125	1	27	4	9	1	low	low1	3	30	1	2	31	32	33	34
5207	17269	densities	5	5	4	5	4	0.098039216	0.77815125	0.047687172	0.698970004	Noun	5	1	2.069985393	3	139.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
5213	17281	dentistry	19	19	11	19	11	0.37254902	1.301029996	0.131139723	1.079181246	Noun	19	1	2.592864138	3	65.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
5224	17324	dependence	21	21	21	20	20	0.411764706	1.342422681	0.250357654	1.342422681	Noun	21	1	2.634256823	3	64.33	10	1	1	low	low3	4	40	1	2	41	42	43	44
5226	17328	dependents	11	11	11	11	11	0.215686275	1.079181246	0.131139723	1.079181246	Noun	11	1	2.371015388	3	67.56	10	1	1	low	low3	4	40	1	2	41	42	43	44
5227	17335	depiction	16	16	15	16	15	0.31372549	1.230448921	0.178826896	1.204119983	Noun	16	1	2.522283064	3	117.63	9	0	1	low	low3	4	40	1	2	41	42	43	44
5230	17346	depletion	13	13	11	12	11	0.254901961	1.146128036	0.131139723	1.079181246	Noun	13	1	2.437962178	3	117.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
5251	17437	deputies	119	119	75	110	72	2.333333333	2.079181246	0.894134478	1.880813592	Noun	119	1	3.371015388	3	150.71	8	0	1	low	low3	4	40	1	2	41	42	43	44
5252	17449	derailment	11	11	10	11	10	0.215686275	1.079181246	0.11921793	1.041392685	Noun	11	1	2.371015388	3	58.89	10	0	1	low	low3	4	40	1	2	41	42	43	44
5298	17651	destinies	43	43	36	43	36	0.843137255	1.643452676	0.429184549	1.568201724	Noun	43	1	2.935286819	3	134.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
5301	17676	detachment	65	65	49	54	41	1.274509804	1.819543936	0.584167859	1.698970004	Noun	65	1	3.111378078	3	53.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
5302	17680	detailer	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	85.57	8	2	1	low	low3	4	40	1	2	41	42	43	44
5312	17703	detergent	52	52	43	49	41	1.019607843	1.72427587	0.512637101	1.643452676	Noun	52	1	3.016110012	3	89.38	9	1	1	low	low3	4	40	1	2	41	42	43	44
5336	17828	devices	188	188	154	186	152	3.68627451	2.276461804	1.835956128	2.190331698	Noun	188	1	3.568295946	3	123.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
5368	17942	diagrams	20	20	20	19	19	0.392156863	1.322219295	0.238435861	1.322219295	Noun	20	1	2.614053437	3	36.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
5369	17944	dialect	68	68	54	63	51	1.333333333	1.838849091	0.643776824	1.740362689	Noun	68	1	3.130683233	3	44.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
5376	17957	dialog	6	6	6	6	6	0.117647059	0.84509804	0.071530758	0.84509804	Noun	6	1	2.136932182	3	20.2	6	0	1	low	low3	4	40	1	2	41	42	43	44
5406	18048	dictation	48	48	45	30	28	0.941176471	1.69019608	0.536480687	1.662757832	Noun	48	1	2.982030222	3	123.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
5423	18098	dieters	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	136	7	0	1	low	low3	4	40	1	2	41	42	43	44
5430	18134	diffusion	11	11	10	9	8	0.215686275	1.079181246	0.11921793	1.041392685	Noun	11	1	2.371015388	3	76.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
5433	18143	digestion	52	52	46	52	46	1.019607843	1.72427587	0.54840248	1.672097858	Noun	52	1	3.016110012	3	119.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
5445	18180	digs	151	151	138	148	135	2.960784314	2.181843588	1.645207439	2.1430148	Noun	151	1	3.47367773	1	21	4	8	1	low	low1	3	30	1	2	31	32	33	34
5463	18221	dilution	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	93.43	8	1	1	low	low3	4	40	1	2	41	42	43	44
5488	18301	dinnertime	91	91	77	67	58	1.784313725	1.963787827	0.917978064	1.892094603	Noun	91	1	3.255621969	3	79.67	10	0	1	low	low3	4	40	1	2	41	42	43	44
5489	18302	dinnerware	7	7	6	7	6	0.137254902	0.903089987	0.071530758	0.84509804	Noun	7	1	2.194924129	3	36.56	10	0	1	low	low3	4	40	1	2	41	42	43	44
5492	18306	dinosaur	203	203	116	180	110	3.980392157	2.309630167	1.382927992	2.068185862	Noun	202	1	3.60146431	3	36.43	8	0	1	low	low3	4	40	1	2	41	42	43	44
5543	18515	disclaimer	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	48.89	10	1	1	low	low3	4	40	1	2	41	42	43	44
5545	18522	disclosure	51	51	40	47	39	1	1.716003344	0.476871722	1.612783857	Noun	51	1	3.007837486	3	36.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
5562	18626	diseases	196	196	164	184	159	3.843137255	2.294466226	1.955174058	2.217483944	Noun	196	1	3.586300368	3	117.43	8	1	1	low	low3	4	40	1	2	41	42	43	44
5590	18800	dismissal	57	57	50	54	48	1.117647059	1.763427994	0.596089652	1.707570176	Noun	57	1	3.055262136	3	60.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
5609	18955	disruption	51	51	35	41	34	1	1.716003344	0.417262756	1.556302501	Noun	55	1	3.007837486	3	124.33	10	0	1	low	low3	4	40	1	2	41	42	43	44
5611	18968	dissection	44	44	25	41	25	0.862745098	1.653212514	0.298044826	1.414973348	Noun	40	1	2.945046656	3	142.22	10	0	1	low	low3	4	40	1	2	41	42	43	44
5622	19033	distances	46	46	44	45	43	0.901960784	1.672097858	0.524558894	1.653212514	Noun	46	1	2.963932	3	107.13	9	1	1	low	low3	4	40	1	2	41	42	43	44
5627	19050	distiller	3	3	1	0	0	0.058823529	0.602059991	0.011921793	0.301029996	Noun	3	1	1.893894133	3	86.88	9	1	1	low	low3	4	40	1	2	41	42	43	44
5631	19070	distortion	60	60	52	60	52	1.176470588	1.785329835	0.619933238	1.72427587	Noun	60	1	3.077163977	3	138.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
5634	19083	distresses	5	5	5	5	5	0.098039216	0.77815125	0.059608965	0.77815125	Noun	5	1	2.069985393	3	94.33	10	2	1	low	low3	4	40	1	2	41	42	43	44
5646	19144	divergence	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	63.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
5651	19179	dividend	19	19	14	19	14	0.37254902	1.301029996	0.166905103	1.176091259	Noun	19	1	2.592864138	3	48.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
5653	19181	divider	8	8	8	8	8	0.156862745	0.954242509	0.095374344	0.954242509	Noun	8	1	2.246076652	3	91.83	7	2	1	low	low3	4	40	1	2	41	42	43	44
5667	19227	dizziness	47	47	43	44	40	0.921568627	1.681241237	0.512637101	1.643452676	Noun	47	1	2.97307538	3	78.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
5670	19249	doberman	21	21	21	2	2	0.411764706	1.342422681	0.250357654	1.342422681	Noun	21	1	2.634256823	3	43.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
5682	19278	doctorate	46	46	39	45	38	0.901960784	1.672097858	0.464949928	1.602059991	Noun	46	1	2.963932	3	55.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
5718	19397	dollhouses	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	55.33	10	0	1	low	low3	4	40	1	2	41	42	43	44
5732	19425	domestics	3	3	3	2	2	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	81.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
5734	19428	dominance	39	39	34	37	32	0.764705882	1.602059991	0.405340963	1.544068044	Noun	39	1	2.893894133	3	54.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
5742	19449	dominion	58	58	38	35	30	1.137254902	1.770852012	0.453028135	1.591064607	Noun	58	1	3.062686154	3	71.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
5745	19454	dominos	5	5	3	5	3	0.098039216	0.77815125	0.035765379	0.602059991	Noun	5	1	2.069985393	3	30.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
5767	19518	door	14895	14895	5286	14339	5228	292.0588235	4.173069664	63.018598	3.72320931	Noun	14863	1	5.464903806	1	26.67	4	5	1	high	high1	1	10	1	2	11	12	13	14
5793	19581	dorms	37	37	31	36	31	0.725490196	1.579783597	0.369575584	1.505149978	Noun	37	1	2.871617739	1	34.5	5	3	1	low	low1	3	30	1	2	31	32	33	34
5797	19594	dosages	9	9	8	8	7	0.176470588	1	0.095374344	0.954242509	Noun	9	1	2.291834142	3	107.17	7	0	1	low	low3	4	40	1	2	41	42	43	44
5880	19829	dramatics	16	16	16	16	16	0.31372549	1.230448921	0.190748689	1.230448921	Noun	16	1	2.522283064	3	83.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
5886	19848	drapery	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	105.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
5888	19857	draught	24	24	20	22	19	0.470588235	1.397940009	0.238435861	1.322219295	Noun	24	1	2.689774151	1	36	7	2	1	low	low1	3	30	1	2	31	32	33	34
5893	19866	drawer	663	663	462	654	456	13	2.822168079	5.507868383	2.665580991	Noun	662	1	4.114002222	2	113	6	1	1	high	high3	2	20	1	2	21	22	23	24
5921	19966	drills	71	71	57	68	56	1.392156863	1.857332496	0.679542203	1.763427994	Noun	71	1	3.149166639	1	58.2	6	3	1	low	low1	3	30	1	2	31	32	33	34
5965	20089	drums	367	367	217	318	203	7.196078431	2.565847819	2.587029089	2.338456494	Noun	367	1	3.857681961	1	29.75	5	1	1	high	high1	1	10	1	2	11	12	13	14
5990	20151	ducks	432	432	200	270	186	8.470588235	2.636487896	2.384358608	2.303196057	Noun	430	1	3.928322038	1	40	5	9	1	high	high1	1	10	1	2	11	12	13	14
5994	20160	ducts	55	55	39	54	39	1.078431373	1.748188027	0.464949928	1.602059991	Noun	55	1	3.040022169	1	42.25	5	3	1	low	low1	3	30	1	2	31	32	33	34
5996	20168	dudes	345	345	228	299	209	6.764705882	2.539076099	2.718168813	2.359835482	Noun	345	1	3.830910241	1	74.75	5	4	1	high	high1	1	10	1	2	11	12	13	14
6000	20177	duelist	2	2	2	2	2	0.039215686	0.477121255	0.023843586	0.477121255	Noun	2	1	1.768955397	3	64.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
6005	20183	dues	104	104	87	100	86	2.039215686	2.021189299	1.037195994	1.944482672	Noun	104	1	3.313023441	1	20	4	9	1	low	low1	3	30	1	2	31	32	33	34
6032	20261	dumps	137	137	121	131	117	2.68627451	2.139879086	1.442536958	2.086359831	Noun	137	1	3.431713229	1	31.75	5	7	1	low	low1	3	30	1	2	31	32	33	34
6038	20274	dunes	45	45	26	27	18	0.882352941	1.662757832	0.309966619	1.431363764	Noun	45	1	2.954591974	1	80.5	5	6	1	low	low1	3	30	1	2	31	32	33	34
6056	20340	dusk	61	61	49	52	46	1.196078431	1.792391689	0.584167859	1.698970004	Noun	61	1	3.084225832	1	20	4	8	1	low	low1	3	30	1	2	31	32	33	34
6076	20404	dynamics	43	43	37	31	28	0.843137255	1.643452676	0.441106342	1.579783597	Noun	43	1	2.935286819	3	24.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
6096	20449	eagerness	13	13	12	13	12	0.254901961	1.146128036	0.143061516	1.113943352	Noun	13	1	2.437962178	3	77.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
6152	20611	eclipses	9	9	9	9	9	0.176470588	1	0.107296137	1	Noun	9	1	2.291834142	3	87.29	8	1	1	low	low3	4	40	1	2	41	42	43	44
6220	20805	eggs	1971	1971	1115	1842	1063	38.64705882	3.294906911	13.29279924	3.047664195	Noun	1970	1	4.586741053	1	12.33	4	1	1	high	high1	1	10	1	2	11	12	13	14
6232	20830	egyptians	59	59	47	2	2	1.156862745	1.77815125	0.560324273	1.681241237	Noun	59	1	3.069985393	3	34.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
6259	20935	electrics	13	13	10	13	10	0.254901961	1.146128036	0.11921793	1.041392685	Noun	13	1	2.437962178	3	51.13	9	0	1	low	low3	4	40	1	2	41	42	43	44
6262	20986	elegance	65	65	56	61	54	1.274509804	1.819543936	0.66762041	1.755874856	Noun	65	1	3.111378078	3	34.14	8	0	1	low	low3	4	40	1	2	41	42	43	44
6284	21090	elves	178	178	82	137	75	3.490196078	2.252853031	0.977587029	1.919078092	Noun	178	1	3.544687173	1	73.5	5	1	1	low	low1	3	30	1	2	31	32	33	34
6312	21205	embryo	39	39	26	38	25	0.764705882	1.602059991	0.309966619	1.431363764	Noun	39	1	2.893894133	3	6.6	6	0	1	low	low3	4	40	1	2	41	42	43	44
6328	21251	emission	25	25	20	23	19	0.490196078	1.414973348	0.238435861	1.322219295	Noun	25	1	2.70680749	3	51.71	8	1	1	low	low3	4	40	1	2	41	42	43	44
6337	21288	empathy	58	58	37	51	36	1.137254902	1.770852012	0.441106342	1.579783597	Noun	58	1	3.062686154	3	27.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
6341	21294	emphasis	65	65	63	58	56	1.274509804	1.819543936	0.751072961	1.806179974	Noun	66	1	3.111378078	3	19.71	8	1	1	low	low3	4	40	1	2	41	42	43	44
6365	21374	enamel	29	29	26	29	26	0.568627451	1.477121255	0.309966619	1.431363764	Noun	29	1	2.768955397	3	37.6	6	0	1	low	low3	4	40	1	2	41	42	43	44
6371	21402	enchanter	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	81.38	9	1	1	low	low3	4	40	1	2	41	42	43	44
6375	21422	enclosure	20	20	17	19	16	0.392156863	1.322219295	0.202670482	1.255272505	Noun	20	1	2.614053437	3	34.63	9	0	1	low	low3	4	40	1	2	41	42	43	44
6388	21522	endoscope	4	4	2	4	2	0.078431373	0.698970004	0.023843586	0.477121255	Noun	4	1	1.990804146	3	20.38	9	0	1	low	low3	4	40	1	2	41	42	43	44
6394	21540	endurance	68	68	62	61	57	1.333333333	1.838849091	0.739151168	1.799340549	Noun	68	1	3.130683233	3	55.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
6398	21549	enemies	985	985	684	951	673	19.31372549	2.993876915	8.154506438	2.835690571	Noun	983	1	4.285711057	3	124	7	0	1	high	high3	2	20	1	2	21	22	23	24
6417	21628	engraver	10	10	9	10	9	0.196078431	1.041392685	0.107296137	1	Noun	10	1	2.333226827	3	54	8	1	1	low	low3	4	40	1	2	41	42	43	44
